Founding Year,Traded As,URL,Company,Ticker
2006,['PAGS'],https://en.wikipedia.org/wiki/PagSeguro,PagBank,PAGS
2012,['CVNA'],https://en.wikipedia.org/wiki/Carvana,Carvana,CVNA
2008,['Not Found'],https://en.wikipedia.org/wiki/Life360,Life360,Not Found
2002,['Not Found'],https://en.wikipedia.org/wiki/Qualtrics,Qualtrics,Not Found
2012,['COIN'],https://en.wikipedia.org/wiki/Coinbase,Coinbase,COIN
1990,['Not Found'],https://en.wikipedia.org/wiki/Insys_Therapeutics,Century Therapeutics,Not Found
2013,['EDIT'],https://en.wikipedia.org/wiki/Editas_Medicine,Editas Medicine,EDIT
2005,['SOUN'],https://en.wikipedia.org/wiki/SoundHound,SoundHound,SOUN
2006,['KLTR'],https://en.wikipedia.org/wiki/Kaltura,Kaltura,KLTR
2004,['VMEO'],https://en.wikipedia.org/wiki/Vimeo,Vimeo,VMEO
2009,['Not Found'],https://en.wikipedia.org/wiki/Bilibili,Bilibili,Not Found
2010,['Not Found'],https://en.wikipedia.org/wiki/Xiaomi,Xiaomi,Not Found
1977,['Not Found'],https://en.wikipedia.org/wiki/Chuck_E._Cheese,E Inc.,Not Found
1998,['JD'],https://en.wikipedia.org/wiki/JD.ID,JD.ID,JD
1996,['Not Found'],https://en.wikipedia.org/wiki/Viant,Viant,Not Found
1999,['SWI'],https://en.wikipedia.org/wiki/SolarWinds,N-able Technologies,SWI
2015,['Not Found'],https://en.wikipedia.org/wiki/Smartcar%2C_Inc.,Otonomo,Not Found
1999,['TTGT'],https://en.wikipedia.org/wiki/TechTarget,TechTarget,TTGT
2012,['Not Found'],https://en.wikipedia.org/wiki/Synlogic,Synlogic,Not Found
2012,['DASH'],https://en.wikipedia.org/wiki/DoorDash,DoorDash,DASH
2002,['CDXS'],https://en.wikipedia.org/wiki/Codexis,Codexis,CDXS
2017,['SWVL'],https://en.wikipedia.org/wiki/SWVL,SWVL,SWVL
2004,['NTRA'],https://en.wikipedia.org/wiki/Natera,Natera,NTRA
2012,['JMIA'],https://en.wikipedia.org/wiki/Jumia,Jumia,JMIA
1999,['DTOL'],https://en.wikipedia.org/wiki/D2L,D2L,DTOL
2005,['PATH'],https://en.wikipedia.org/wiki/UiPath,UiPath,PATH
2013,['ROO'],https://en.wikipedia.org/wiki/Deliveroo,Deliveroo Australia,ROO
1994,['OTLY'],https://en.wikipedia.org/wiki/Oatly,Oatly,OTLY
2014,['Not Found'],https://en.wikipedia.org/wiki/Science_37_,Science 37,Not Found
2015,['ROOT'],https://en.wikipedia.org/wiki/Root%2C_Inc.,Root Insurance,ROOT
2002,['Not Found'],https://en.wikipedia.org/wiki/Everbridge,EverBridge,Not Found
2003,['NSTGQ'],https://en.wikipedia.org/wiki/NanoString_Technologies,NanoString,NSTGQ
2005,['VRNS'],https://en.wikipedia.org/wiki/Varonis,Varonis,VRNS
2011,['RAMP'],https://en.wikipedia.org/wiki/LiveRamp,LiveRamp,RAMP
2011,['HFG'],https://en.wikipedia.org/wiki/HelloFresh,HelloFresh,HFG
1997,['BMRN'],https://en.wikipedia.org/wiki/BioMarin,BioMarin,BMRN
1995,"['TASE', 'LPSN']",https://en.wikipedia.org/wiki/LivePerson,LivePerson,TASE
2013,['ACAST'],https://en.wikipedia.org/wiki/Acast,Acast,ACAST
2007,['TBLA'],https://en.wikipedia.org/wiki/Taboola,Taboola,TBLA
2011,['GDRX'],https://en.wikipedia.org/wiki/GoodRx,GoodRx,GDRX
2009,['TDUP'],https://en.wikipedia.org/wiki/ThredUp,ThredUp,TDUP
2017,['Not Found'],https://en.wikipedia.org/wiki/CoreWeave,Core Scientific,Not Found
