Company,Industry,Layoff Date,Ticker
Amazon,Retail,2023-11-17,
Sonos,Consumer,2023-11-16,SONO
Singular Genomics,Healthcare,2023-11-15,
Chewy,Retail,2023-11-14,
Sarcos,Aerospace,2023-11-14,Not Found
Markforged,Manufacturing,2023-11-14,MKFG
Amazon,Retail,2023-11-13,
TripAdvisor,Travel,2023-11-12,Not Found
Snap,Consumer,2023-11-08,
Amazon,Retail,2023-11-08,
BigCommerce,Retail,2023-11-08,BIGC
Google,Consumer,2023-11-08,GOOG
Oportun,Finance,2023-11-07,
Zillow,Real Estate,2023-11-07,Z
Nextdoor,Consumer,2023-11-07,KIND
F5,Security,2023-11-03,
NIO,Transportation,2023-11-03,
Viasat,Other,2023-11-02,
Beyond Meat,Food,2023-11-02,BYND
Sportradar,Data,2023-11-02,SRAD
Informatica,Data,2023-11-01,INFA
Splunk,Data,2023-11-01,Not Found
Hippo Insurance,Finance,2023-10-26,HIPO
 F-Secure ,Security,2023-10-25,FSECURE
LegalZoom,Legal,2023-10-19,LZ
Google,Consumer,2023-10-18,GOOG
Expedia,Travel,2023-10-17,
Qualcomm,Hardware,2023-10-12,QCOM
Lending Club,Finance,2023-10-12,LC
MariaDB,Data,2023-10-12,
Stitch Fix,Retail,2023-10-09,SFIX
Juniper Networks,Hardware,2023-10-06,JNPR
Shift,Transportation,2023-10-06,
Enovix,Energy,2023-10-05,
Arrival,Transportation,2023-10-05,
Bird,Transportation,2023-10-04,
Block,Finance,2023-10-04,
Meta,Consumer,2023-10-04,
IronNet,Security,2023-10-02,
Sono Motors,Transportation,2023-10-02,SEV
2U,Education,2023-09-28,
Snap,Consumer,2023-09-27,
Roblox,Consumer,2023-09-22,
Robinhood,Finance,2023-09-21,
Cisco,Infrastructure,2023-09-17,CSCO
Sage Therapeutics copy,Healthcare,2023-09-15,
Google,Consumer,2023-09-13,GOOG
Akili Labs,Healthcare,2023-09-13,
Roku,Media,2023-09-06,
iSpecimen,Healthcare,2023-09-06,
Absci,Healthcare,2023-09-05,Not Found
Pegasystems,HR,2023-08-31,PEGA
Expedia,Travel,2023-08-31,
Zebra Technologies,Manufacturing,2023-08-28,ZBRA
SenseTime,AI,2023-08-28,Not Found
Fortinet,Security,2023-08-25,FTNT
BlackLine,Finance,2023-08-23,BL
Tempo Automation,Other,2023-08-22,TMPO
Illumina,Healthcare,2023-08-17,
AppFolio,Real Estate,2023-08-17,APPF
Intel,Hardware,2023-08-17,INTC
SecureWorks,Security,2023-08-14,
Shutterfly,Manufacturing,2023-08-10,Not Found
NCC Group,Security,2023-08-10,NCC
Blend,Finance,2023-08-09,
Babylon Health,Healthcare,2023-08-09,BBLN
Bukalapak,Retail,2023-08-09,BUKA
Thoughtworks,Other,2023-08-08,Not Found
Rapid7,Security,2023-08-08,
Doximity,Healthcare,2023-08-08,DOCS
23andMe,Healthcare,2023-08-08,ME
Dell,Hardware,2023-08-07,Not Found
Astra,Aerospace,2023-08-04,
Salesforce,Sales,2023-08-02,CRM
TripAdvisor,Travel,2023-08-02,Not Found
Planet,Aerospace,2023-08-01,
Kape Technologies,Security,2023-07-30,
Kape,Security,2023-07-28,
Homology,Healthcare,2023-07-28,
Wish,Retail,2023-07-27,
Kleos Space,Aerospace,2023-07-26,
AppHarvest,Food,2023-07-24,APPHQ
Phunware,Other,2023-07-20,PHUN
Inspirato,Travel,2023-07-19,
Blue Apron,Food,2023-07-19,Not Found
Microsoft,Other,2023-07-18,MSFT
