,Company,Industry,Layoff Date,Ticker_x,Ticker_y,Revenue Drop Before Layoff,Revenue Drop After Layoff
699,BioMarin,Healthcare,2022-10-07,BMRN,BMRN,True,True
700,Peloton,Fitness,2022-10-06,,,,
701,Spotify,Media,2022-10-06,Not Found,Not Found,,
702,8x8,Support,2022-10-04,Not Found,Not Found,,
703,Westwing,Retail,2022-09-29,,,,
704,DocuSign,Sales,2022-09-28,DOCU,DOCU,False,False
705,Volta,Transportation,2022-09-28,,,,
706,Compass,Real Estate,2022-09-20,,,,
707,Ouster,Transportation,2022-09-20,,,,
708,LivePerson,Support,2022-09-15,TASE,TASE,,
709,Acast,Media,2022-09-15,ACAST,ACAST,,
710,Twilio,Other,2022-09-14,Not Found,Not Found,,
711,Netflix,Media,2022-09-14,,,,
712,Rubius,Healthcare,2022-09-13,,,,
713,Taboola,Marketing,2022-09-13,TBLA,TBLA,True,True
714,Rent the Runway,Retail,2022-09-12,Not Found,Not Found,,
715,BigBear.ai,Data,2022-09-08,,,,
716,Uber,Transportation,2022-09-07,UBER,UBER,False,False
717,Sea,Consumer,2022-09-02,,,,
718,Shopify,Retail,2022-09-01,SHOP,SHOP,True,True
719,Snap,Consumer,2022-08-31,,,,
720,GoodRx,Healthcare,2022-08-31,GDRX,GDRX,True,True
721,Hippo Insurance,Finance,2022-08-31,HIPO,HIPO,True,False
722,TCR2,Healthcare,2022-08-31,,,,
723,Skillz,Consumer,2022-08-29,,,,
724,Otonomo,Transportation,2022-08-28,Not Found,Not Found,,
725,Okta,Security,2022-08-26,,,,
726,Kogan,Retail,2022-08-23,,,,
727,Wayfair,Retail,2022-08-19,W,W,True,True
728,New Relic,Infrastructure,2022-08-18,Not Found,Not Found,,
729,Sema4,Healthcare,2022-08-15,,,,
730,Blend,Finance,2022-08-15,,,,
731,ContraFect,Healthcare,2022-08-15,,,,
732,ThredUp,Retail,2022-08-15,TDUP,TDUP,,
733,Peloton,Fitness,2022-08-12,,,,
734,Core Scientific,Crypto,2022-08-12,Not Found,Not Found,,
735,Guidewire,Finance,2022-08-11,,,,
736,GoHealth,Healthcare,2022-08-09,GOCO,GOCO,True,True
737,Nutanix,Infrastructure,2022-08-09,NTNX,NTNX,True,True
738,Quanterix,Healthcare,2022-08-09,BIM,BIM,,
739,Wix,Marketing,2022-08-09,,,,
740,Absci,Healthcare,2022-08-09,Not Found,Not Found,,
741,Berkeley Lights,Healthcare,2022-08-09,,,,
742,Kaltura,Media,2022-08-09,KLTR,KLTR,True,True
743,Shift,Transportation,2022-08-09,,,,
744,Sweetgreen,Food,2022-08-09,SG,SG,False,True
745,Groupon,Retail,2022-08-08,,,,
746,Vroom,Transportation,2022-08-08,,,,
747,Warby Parker,Consumer,2022-08-08,WRBY,WRBY,True,True
748,Perion,Marketing,2022-08-08,,,,
749,Doma,Finance,2022-08-04,,,,
750,10X Genomics,Healthcare,2022-08-04,TXG,TXG,True,True
751,RingCentral,Support,2022-08-04,RNG,RNG,False,False
752,Beyond Meat,Food,2022-08-03,BYND,BYND,False,True
753,Robinhood,Finance,2022-08-02,,,,
754,Latch,Security,2022-08-02,,,,
755,Butterfly Network,Healthcare,2022-08-02,,,,
756,FuboTV,Media,2022-08-02,FUBO,FUBO,,
757,Oracle,Other,2022-08-01,,,,
758,MissFresh,Food,2022-07-29,Not Found,Not Found,,
759,Laybuy,Finance,2022-07-28,,,,
760,Allbirds,Retail,2022-07-28,BIRD,BIRD,True,True
761,2U,Education,2022-07-28,,,,
762,Rivian,Transportation,2022-07-27,RIVN,RIVN,,
763,Shopify,Retail,2022-07-26,SHOP,SHOP,True,True
764,Fiverr,Other,2022-07-26,,,,
765,Outbrain,Marketing,2022-07-26,OB,OB,True,True
766,Pear Therapeutics ,Healthcare,2022-07-25,,,,
767,Owlet,Healthcare,2022-07-22,,,,
768,AppGate,Security,2022-07-21,,,,
769,Just Eat Takeaway,Food,2022-07-20,AEX,AEX,,
770,Lyft,Transportation,2022-07-20,LYFT,LYFT,True,True
771,Invitae,Healthcare,2022-07-19,NVTAQ,NVTAQ,True,True
772,Vimeo,Consumer,2022-07-18,VMEO,VMEO,False,True
773,Arrival,Transportation,2022-07-13,,,,
774,Babylon,Healthcare,2022-07-12,Not Found,Not Found,,
775,Microsoft,Other,2022-07-12,MSFT,MSFT,True,False
776,Twitter,Consumer,2022-07-07,Not Found,Not Found,,
777,Shopify,Retail,2022-07-06,SHOP,SHOP,True,True
778,Canoo,Transportation,2022-07-01,GOEVQ,GOEVQ,,
779,Enjoy,Retail,2022-06-30,,,,
780,Unity,Other,2022-06-29,,,,
781,AppLovin,Marketing,2022-06-27,APP,APP,True,True
782,UiPath,Data,2022-06-27,PATH,PATH,True,False
783,Cue,Healthcare,2022-06-27,,,,
784,Banxa,Crypto,2022-06-27,,,,
785,Netflix,Media,2022-06-23,,,,
786,IronNet,Security,2022-06-22,,,,
787,IronNet,Security,2022-06-22,,,,
788,Sprinklr,Support,2022-06-22,Not Found,Not Found,,
789,TaskUs,Support,2022-06-21,TASK,TASK,False,True
790,Coinbase,Crypto,2022-06-14,COIN,COIN,True,True
791,Redfin,Real Estate,2022-06-14,RDFN,RDFN,True,True
792,Compass,Real Estate,2022-06-14,,,,
793,Desktop Metal,Other,2022-06-13,DM,DM,True,True
794,Stitch Fix,Retail,2022-06-09,SFIX,SFIX,True,True
795,Boozt,Retail,2022-06-09,,,,
796,Sonder,Travel,2022-06-08,,,,
797,Cazoo,Transportation,2022-06-07,Not Found,Not Found,,
798,Cazoo,Transportation,2022-06-07,Not Found,Not Found,,
799,Bird,Transportation,2022-06-07,,,,
800,Tesla,Transportation,2022-06-03,,,,
801,TomTom,Transportation,2022-06-01,TOM2,TOM2,,
802,Playtika,Consumer,2022-05-31,PLTK,PLTK,False,True
803,SWVL,Transportation,2022-05-30,SWVL,SWVL,,
804,VTEX,Retail,2022-05-26,,,,
805,PayPal,Finance,2022-05-23,PYPL,PYPL,True,False
806,Latch,Security,2022-05-20,,,,
807,Skillz,Consumer,2022-05-20,,,,
808,Netflix,Media,2022-05-17,,,,
809,Carvana,Transportation,2022-05-10,CVNA,CVNA,True,True
810,Doma,Finance,2022-05-10,,,,
811,Latch,Security,2022-05-10,,,,
812,Vroom,Transportation,2022-05-09,,,,
813,Netflix,Media,2022-04-28,,,,
814,Robinhood,Finance,2022-04-26,,,,
815,Lemonade,Finance,2022-04-20,,,,
816,Blend,Finance,2022-04-19,,,,
817,Goodfood,Food,2022-04-07,FOOD,FOOD,,
818,Legible,Media,2022-04-04,,,,
819,Sea,Retail,2022-03-30,,,,
820,Thinkific,Education,2022-03-29,,,,
821,Storytel,Media,2022-03-17,Not Found,Not Found,,
822,Talis Biomedical,Healthcare,2022-03-15,,,,
823,Sezzle,Finance,2022-03-10,Not Found,Not Found,,
824,Adaptive Biotechnologies,Healthcare,2022-03-08,,,,
825,Wish,Retail,2022-03-01,,,,
826,Peloton,Fitness,2022-02-08,,,,
827,Root Insurance,Finance,2022-01-20,ROOT,ROOT,True,True
